attack_type,attack_method,num_rows,breach_rate_pct,impact_mean
dodging_attack,SI_NI_FGSM,240,34.583333333333336,0.21235538275213914
dodging_attack,MI_FGSM,240,32.916666666666664,0.1981778414590129
dodging_attack,MI_ADMIX_DI_TI,240,27.083333333333332,0.17464577514717045
dodging_attack,TI_FGSM,240,24.583333333333332,0.15307024922998
dodging_attack,PGD,240,20.833333333333336,0.11821146099440134
impersonation_attack,SI_NI_FGSM,240,22.083333333333332,0.12715954544449534
impersonation_attack,MI_ADMIX_DI_TI,240,18.75,0.11226180685819903
impersonation_attack,MI_FGSM,240,18.333333333333332,0.11704310977171796
impersonation_attack,TI_FGSM,240,16.666666666666664,0.10049604401416824
impersonation_attack,PGD,240,12.5,0.07433355634275358
