attack_type,attack_method,num_rows,breach_rate_pct,impact_mean
dodging_attack,SI_NI_FGSM,208,39.90384615384615,0.21481247738791773
dodging_attack,ATT_CNN,156,37.17948717948718,0.16288112330799687
dodging_attack,MI_FGSM,208,35.09615384615385,0.19475678025404564
dodging_attack,MI_ADMIX_DI_TI,208,31.73076923076923,0.17486281170008275
dodging_attack,TI_FGSM,208,27.403846153846157,0.14862217490847868
dodging_attack,PGD,208,22.596153846153847,0.11614843387192544
impersonation_attack,SI_NI_FGSM,160,19.375,0.12426515167462637
impersonation_attack,ATT_CNN,120,15.833333333333332,0.12319110167445615
impersonation_attack,MI_ADMIX_DI_TI,160,14.374999999999998,0.10437102722062261
impersonation_attack,MI_FGSM,160,13.750000000000002,0.11083065699203869
impersonation_attack,TI_FGSM,160,12.5,0.096047441259725
impersonation_attack,PGD,160,10.625,0.07310664641845505
