attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
VGG-Face,Facenet512,PGD,30,36.666666666666664,0.2671480833319947
VGG-Face,GhostFaceNet,MI_ADMIX_DI_TI,30,36.666666666666664,0.0997267922386527
VGG-Face,GhostFaceNet,TI_FGSM,30,33.33333333333333,0.08520479497189323
VGG-Face,GhostFaceNet,MI_FGSM,30,30.0,0.10025827766706547
VGG-Face,GhostFaceNet,SI_NI_FGSM,30,30.0,0.09410222380732497
VGG-Face,GhostFaceNet,PGD,30,23.333333333333332,0.06529956546922525
VGG-Face,IR152,MI_ADMIX_DI_TI,30,13.333333333333334,0.18679811622326573
VGG-Face,IR152,MI_FGSM,30,13.333333333333334,0.17269302203009526
VGG-Face,IR152,SI_NI_FGSM,30,13.333333333333334,0.16010177781184515
VGG-Face,IR152,PGD,30,3.3333333333333335,0.09457557881250978
VGG-Face,IR152,TI_FGSM,30,3.3333333333333335,0.13773307014877598
