attack_method,num_rows,breach_rate_pct,impact_mean
SI_NI_FGSM,368,30.978260869565215,0.175444074903878
ATT_CNN,276,27.898550724637683,0.14562459216297916
MI_FGSM,368,25.815217391304344,0.15826716144447742
MI_ADMIX_DI_TI,368,24.184782608695652,0.14421420975249138
TI_FGSM,368,20.92391304347826,0.12576359506119447
PGD,368,17.391304347826086,0.0974346132399818
