attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,BPA_CNN,23,26.08695652173913,0.24919556494316328
ArcFace,Facenet512,SI_NI_FGSM,23,21.73913043478261,0.25199571891647315
ArcFace,Facenet512,MI_ADMIX_DI_TI,23,13.043478260869565,0.173451687614231
ArcFace,Facenet512,MI_FGSM,23,13.043478260869565,0.20674122946903759
ArcFace,Facenet512,PGD,23,4.3478260869565215,0.09541396140728307
ArcFace,Facenet512,TI_FGSM,23,4.3478260869565215,0.15236251023800476
ArcFace,GhostFaceNet,BPA_CNN,23,43.47826086956522,0.1306461076778562
ArcFace,GhostFaceNet,MI_ADMIX_DI_TI,23,39.130434782608695,0.09390123743239952
ArcFace,GhostFaceNet,SI_NI_FGSM,23,34.78260869565217,0.1323660214067153
ArcFace,GhostFaceNet,MI_FGSM,23,30.434782608695656,0.11918139081124378
ArcFace,GhostFaceNet,TI_FGSM,23,30.434782608695656,0.08532239521003288
ArcFace,GhostFaceNet,PGD,23,21.73913043478261,0.05939815885832776
ArcFace,IR152,SI_NI_FGSM,23,17.391304347826086,0.19714027165394762
ArcFace,IR152,MI_ADMIX_DI_TI,23,8.695652173913043,0.12222820706665515
ArcFace,IR152,MI_FGSM,23,8.695652173913043,0.14958190812688804
ArcFace,IR152,PGD,23,8.695652173913043,0.056586972923706395
ArcFace,IR152,TI_FGSM,23,8.695652173913043,0.11189981185547683
ArcFace,VGG-Face,BPA_CNN,23,30.434782608695656,0.14352948493931605
ArcFace,VGG-Face,SI_NI_FGSM,23,30.434782608695656,0.1494004796056644
ArcFace,VGG-Face,MI_ADMIX_DI_TI,23,17.391304347826086,0.1008378278626048
ArcFace,VGG-Face,MI_FGSM,23,17.391304347826086,0.11251830746946127
ArcFace,VGG-Face,TI_FGSM,23,17.391304347826086,0.09329706252269125
ArcFace,VGG-Face,PGD,23,4.3478260869565215,0.05748691134478736
Facenet512,ArcFace,SI_NI_FGSM,23,65.21739130434783,0.22984159272164106
Facenet512,ArcFace,BPA_CNN,23,52.17391304347826,0.20399118850574546
Facenet512,ArcFace,MI_FGSM,23,47.82608695652174,0.19494141593737452
Facenet512,ArcFace,MI_ADMIX_DI_TI,23,39.130434782608695,0.17279116392297592
Facenet512,ArcFace,PGD,23,34.78260869565217,0.15612263471374047
Facenet512,ArcFace,TI_FGSM,23,34.78260869565217,0.16074106732950263
Facenet512,GhostFaceNet,SI_NI_FGSM,23,47.82608695652174,0.1276497012409179
Facenet512,GhostFaceNet,MI_FGSM,23,43.47826086956522,0.11293107169963745
Facenet512,GhostFaceNet,TI_FGSM,23,43.47826086956522,0.09637676928516316
Facenet512,GhostFaceNet,BPA_CNN,23,39.130434782608695,0.11660406224267636
Facenet512,GhostFaceNet,MI_ADMIX_DI_TI,23,39.130434782608695,0.1173849998689864
Facenet512,GhostFaceNet,PGD,23,39.130434782608695,0.08417995606103668
Facenet512,IR152,SI_NI_FGSM,23,26.08695652173913,0.22760691299386646
Facenet512,IR152,MI_FGSM,23,13.043478260869565,0.19858319814438405
Facenet512,IR152,MI_ADMIX_DI_TI,23,8.695652173913043,0.19279041683868223
Facenet512,IR152,PGD,23,8.695652173913043,0.1340390148208193
Facenet512,IR152,TI_FGSM,23,8.695652173913043,0.16198380222625058
Facenet512,VGG-Face,SI_NI_FGSM,23,56.52173913043478,0.22081562309809358
Facenet512,VGG-Face,BPA_CNN,23,43.47826086956522,0.2020188505234926
Facenet512,VGG-Face,MI_FGSM,23,43.47826086956522,0.1941392988614414
Facenet512,VGG-Face,TI_FGSM,23,39.130434782608695,0.16848277252005495
Facenet512,VGG-Face,MI_ADMIX_DI_TI,23,34.78260869565217,0.18358167358066724
Facenet512,VGG-Face,PGD,23,30.434782608695656,0.15376376814168435
GhostFaceNet,ArcFace,BPA_CNN,23,26.08695652173913,0.0880225061884393
GhostFaceNet,ArcFace,MI_FGSM,23,26.08695652173913,0.08925490559119245
GhostFaceNet,ArcFace,MI_ADMIX_DI_TI,23,21.73913043478261,0.07754979068008455
GhostFaceNet,ArcFace,PGD,23,21.73913043478261,0.05004161296655303
GhostFaceNet,ArcFace,SI_NI_FGSM,23,21.73913043478261,0.10529395998658045
GhostFaceNet,ArcFace,TI_FGSM,23,21.73913043478261,0.056046587819962405
GhostFaceNet,Facenet512,MI_FGSM,23,4.3478260869565215,0.11002876382807027
GhostFaceNet,Facenet512,SI_NI_FGSM,23,4.3478260869565215,0.1262476070905509
GhostFaceNet,Facenet512,BPA_CNN,23,0.0,0.1282868527037942
GhostFaceNet,Facenet512,MI_ADMIX_DI_TI,23,0.0,0.08814822096863517
GhostFaceNet,Facenet512,PGD,23,0.0,0.04497689875247684
GhostFaceNet,Facenet512,TI_FGSM,23,0.0,0.07339783328706802
GhostFaceNet,IR152,SI_NI_FGSM,23,4.3478260869565215,0.11326801056123297
GhostFaceNet,IR152,TI_FGSM,23,4.3478260869565215,0.0682607591152191
GhostFaceNet,IR152,MI_ADMIX_DI_TI,23,0.0,0.08132810208379572
GhostFaceNet,IR152,MI_FGSM,23,0.0,0.0946188917302567
GhostFaceNet,IR152,PGD,23,0.0,0.03482483616908606
GhostFaceNet,VGG-Face,SI_NI_FGSM,23,13.043478260869565,0.07615574773239053
GhostFaceNet,VGG-Face,BPA_CNN,23,8.695652173913043,0.06849217244788358
GhostFaceNet,VGG-Face,MI_ADMIX_DI_TI,23,8.695652173913043,0.04840354775281058
GhostFaceNet,VGG-Face,MI_FGSM,23,8.695652173913043,0.060513306895028
GhostFaceNet,VGG-Face,TI_FGSM,23,8.695652173913043,0.03981734342549159
GhostFaceNet,VGG-Face,PGD,23,4.3478260869565215,0.022322595443414618
VGG-Face,ArcFace,BPA_CNN,23,56.52173913043478,0.21266882279482877
VGG-Face,ArcFace,MI_FGSM,23,52.17391304347826,0.20700143597534174
VGG-Face,ArcFace,MI_ADMIX_DI_TI,23,43.47826086956522,0.19555251806488502
VGG-Face,ArcFace,SI_NI_FGSM,23,43.47826086956522,0.20217425493604463
VGG-Face,ArcFace,TI_FGSM,23,43.47826086956522,0.17955403252626248
VGG-Face,ArcFace,PGD,23,39.130434782608695,0.15298653009307128
VGG-Face,Facenet512,BPA_CNN,23,47.82608695652174,0.39804778867603646
VGG-Face,Facenet512,MI_ADMIX_DI_TI,23,47.82608695652174,0.360627433123148
VGG-Face,Facenet512,MI_FGSM,23,47.82608695652174,0.3946602397962757
VGG-Face,Facenet512,SI_NI_FGSM,23,47.82608695652174,0.3788864200367876
VGG-Face,Facenet512,TI_FGSM,23,30.434782608695656,0.32350121106466523
VGG-Face,Facenet512,PGD,23,26.08695652173913,0.2654095786907103
VGG-Face,GhostFaceNet,MI_ADMIX_DI_TI,23,47.82608695652174,0.10901738877367713
VGG-Face,GhostFaceNet,MI_FGSM,23,43.47826086956522,0.11710472789633532
VGG-Face,GhostFaceNet,SI_NI_FGSM,23,43.47826086956522,0.10834869398209064
VGG-Face,GhostFaceNet,BPA_CNN,23,39.130434782608695,0.11514251326899164
VGG-Face,GhostFaceNet,TI_FGSM,23,39.130434782608695,0.1021321115853346
VGG-Face,GhostFaceNet,PGD,23,30.434782608695656,0.09116368169855811
VGG-Face,IR152,MI_ADMIX_DI_TI,23,17.391304347826086,0.1898331404056238
VGG-Face,IR152,SI_NI_FGSM,23,17.391304347826086,0.1599141824990511
VGG-Face,IR152,MI_FGSM,23,13.043478260869565,0.17047449087967043
VGG-Face,IR152,PGD,23,4.3478260869565215,0.10023669975445322
VGG-Face,IR152,TI_FGSM,23,0.0,0.13904145096793122
